Time время
Year год
Day день
Thing вещь
Man мужчина
World мир
Life жизнь
Hand рука
Part часть
Child ребенок
Eye глаз
Woman женщина
Place место
Work работа
Week неделя
Case случай
Point точка
Government правительство
Company компания
Number число
Group группа
Problem проблема
Fact факт
Water вода
Food еда
House дом
Money деньги
Story история
Family семья
Student студент
Question вопрос
Answer ответ
School школа
Friend друг
Book книга
Room комната
City город
Name имя
People люди
Home дом
Sun солнце
Air воздух
Love любовь
Night ночь
Morning утро
Idea идея
End конец
Head голова
Information информация
Car машина
I я
You ты
He он
She она
It оно
We мы
They они
This этот
That тот
My мой
Your твой
His его
Her её
Our наш
Their их
Of из
In в
To к
For для
On на
With с
At у
From из
By к
About о
Into в
After после
Over над
Between между
Under под
And и
But но
Or или
If если
Because потому что
As как
When когда
So так
No нет
Not не
Yes да
Now сейчас
Just только что
How как
Well хорошо
Here здесь
There там
Very очень
Too тоже
Only только
Be быть
Have иметь
Do делать
Say сказать
Get получать
Make делать
Go идти
See видеть
Know знать
Take брать
Think думать
Come приходить
Give давать
Look смотреть
Use использовать
Find находить
Tell рассказывать
Ask спрашивать
Work работать
Seem казаться
Feel чувствовать
Try пытаться
Leave покидать
Call звонить
Need нуждаться
Want хотеть
Help помогать
Talk разговаривать
Turn поворачивать
Start начинать
Show показывать
Hear слышать
Play играть
Run бежать
Move двигать
Like нравиться
Live жить
Believe верить
Hold держать
Bring приносить
Happen случаться
Write писать
Provide предоставлять
Sit сидеть
Stand стоять
Lose терять
Pay платить
Meet встречать
Include включать
Continue продолжать
Accept принимать
Allow позволять
Ask спрашивать
Become становиться
Begin начинать
Break ломать
Build строить
Buy покупать
Change менять
Close закрывать
Come приходить
Cook готовить
Cost стоить
Cut резать
Decide решать
Describe описывать
Die умирать
Draw рисовать
Drink пить
Drive водить
Eat есть
Enjoy наслаждаться
Enter входить
Explain объяснять
Fall падать
Feel чувствовать
Fill заполнять
Finish заканчивать
Fly летать
Forget забывать
Give давать
Go идти
Grow расти
Happen случаться
Hate ненавидеть
Hear слышать
Help помогать
Hope надеяться
Hurt причинять боль
Keep хранить
Kill убивать
Know знать
Learn учить
Leave покидать
Lend одалживать
Let позволять
Lie лежать
Like нравиться
Listen слушать
Look смотреть
Love любить
Make делать
Mean значить
Meet встречать
Move двигать
Must должен
Need нуждаться
Open открывать
Pay платить
Play играть
Put класть
Read читать
Remember помнить
Run бежать
Say сказать
See видеть
Seem казаться
Sell продавать
Send отправлять
Set устанавливать
Shall должен
Shine светить
Show показывать
Shut закрывать
Sing петь
Sit сидеть
Sleep спать
Speak говорить
Spend тратить
Stand стоять
Start начинать
Stay оставаться
Stop останавливать
Study учиться
Swim плавать
Take брать
Talk разговаривать
Teach учить
Tell рассказывать
Think думать
Throw бросать
Touch касаться
Try пытаться
Turn поворачивать
Understand понимать
Use использовать
Wait ждать
Walk гулять
Want хотеть
Win выигрывать
Work работать
Write писать
Good хороший
Bad плохой
New новый
Old старый
First первый
Last последний
Great великий
Small маленький
Large большой
Long длинный
Short короткий
High высокий
Tall высокий
Low низкий
Early ранний
Late поздний
Important важный
Interesting интересный
Different другой
Same такой же
Easy легкий
Difficult трудный
Strong сильный
Weak слабый
Young молодой
Big большой
Little маленький
Few мало
Many много
Much много
Other другой
Next следующий
Right правильный
Left левый
True правдивый
False ложный
Free свободный
Full полный
Empty пустой
Happy счастливый
Sad грустный
Beautiful красивый
Ugly уродливый
Hot горячий
Cold холодный
Warm теплый
Cool прохладный
Fast быстрый
Slow медленный
Clean чистый
Dirty грязный
Dark темный
Light светлый
Expensive дорогой
Cheap дешевый
Poor бедный
Rich богатый
Wide широкий
Narrow узкий
Heavy тяжелый
Light легкий
Soft мягкий
Hard твердый
Noisy шумный
Quiet тихий
Comfortable удобный
Uncomfortable неудобный
Dangerous опасный
Safe безопасный
Healthy здоровый
Sick больной
Sweet сладкий
Sour кислый
Salty соленый
Bitter горький
Very очень
Too слишком
So так
Well хорошо
Badly плохо
Quickly быстро
Slowly медленно
Always всегда
Often часто
Sometimes иногда
Never никогда
Usually обычно
Recently недавно
Soon скоро
Here здесь
There там
Now сейчас
Then тогда
Today сегодня
Yesterday вчера
Tomorrow завтра
Already уже
Yet еще
Still все еще
Almost почти
