able способный
about о
above над
accept принимать
across через
act действовать
actually на самом деле
add добавлять
admit признавать
afraid испуганный
after после
afternoon день
again снова
against против
age возраст
ago назад
agree соглашаться
ahead впереди
air воздух
all все
allow позволять
almost почти
alone один
along вдоль
already уже
alright все в порядке
also также
although хотя
always всегда
am быть
amaze изумлять
an неопределенный артикль
and и
anger гнев
angry злой
animal животное
annoy раздражать
another другой
answer ответ
any любой
anymore больше
anyone кто нибудь
anything что нибудь
anyway в любом случае
apartment квартира
apparently очевидно
appear появляться
approach приближаться
are быть
area область
aren't are not
arm рука
around вокруг
arrive прибывать
as как
ask спрашивать
asleep спящий
ass задница
at у
attack атаковать
attempt попытка
attention внимание
aunt тетя
avoid избегать
away прочь
baby ребенок
back назад
bad плохой
bag сумка
ball мяч
band группа
bar бар
barely едва
bathroom ванная
be быть
beat бить
beautiful красивый
became стал
because потому что
become становиться
bed кровать
bedroom спальня
been был
before до
began начал
begin начинать
behind позади
believe верить
bell звонок
beside рядом
besides кроме
best лучший
better лучше
between между
big большой
bit кусочек
bite кусать
black черный
blink моргать
block блок
blonde блондинка
blood кровь
blue синий
blush краснеть
body тело
book книга
bore наскучить
both оба
bother беспокоить
bottle бутылка
bottom дно
box коробка
boy мальчик
boyfriend парень
brain мозг
break ломать
breakfast завтрак
breath дыхание
breathe дышать
bright яркий
bring приносить
broke сломал
broken сломанный
brother брат
brought принес
brown коричневый
brush щетка
build строить
burn жечь
burst лопнуть
bus автобус
business бизнес
busy занятой
but но
buy покупать
by к
call звать
calm спокойный
came пришел
can мочь
can't cannot
car машина
card карта
care забота
carefully осторожно
carry нести
case случай
cat кот
catch ловить
caught поймал
cause причина
cell клетка
chair стул
chance шанс
change менять
chase преследовать
check проверять
cheek щека
chest грудь
child ребенок
children дети
chuckle посмеиваться
city город
class класс
clean чистый
clear ясный
climb взбираться
close закрывать
clothes одежда
coffee кофе
cold холодный
college колледж
color цвет
come приходить
comment комментарий
complete полный
completely полностью
computer компьютер
concern беспокойство
confuse путать
consider рассматривать
continue продолжать
control контроль
conversation разговор
cool прохладный
corner угол
couch диван
could мог
couldn't could not
counter стойка
couple пара
course курс
cover покрывать
crack трещина
crazy сумасшедший
cross пересекать
crowd толпа
cry плакать
cup чашка
cut резать
cute милый
dad папа
damn проклятый
dance танцевать
dark темный
date свидание
daughter дочь
day день
dead мертвый
deal сделка
dear дорогой
death смерть
decide решать
deep глубокий
definitely определенно
desk письменный стол
did делал
didn't did not
die умирать
different другой
dinner ужин
direction направление
disappear исчезать
do делать
doctor врач
does делает
doesn't does not
dog собака
don't do not
done сделанный
door дверь
doubt сомнение
down вниз
drag тащить
draw рисовать
dream мечта
dress платье
drink пить
drive водить
drop ронять
drove вел
dry сухой
during в течение
each каждый
ear ухо
early рано
easily легко
easy легкий
eat есть
edge край
either либо
else еще
empty пустой
end конец
enjoy наслаждаться
enough достаточно
enter входить
entire весь
escape сбегать
especially особенно
even даже
evening вечер
eventually в конце концов
ever когда либо
every каждый
everyone все
everything все
exactly точно
except кроме
excite волновать
exclaim восклицать
excuse оправдание
expect ожидать
explain объяснять
expression выражение
eye глаз
eyebrow бровь
face лицо
fact факт
fall падать
family семья
far далекий
fast быстрый
father отец
fault вина
favorite любимый
fear страх
feel чувствовать
feet ноги
fell упал
felt чувствовал
few несколько
field поле
fight бороться
figure фигура
fill заполнять
finally наконец
find находить
fine хороший
finger палец
finish заканчивать
fire огонь
first первый
fit подходить
five пять
fix чинить
flash вспышка
flip переворачивать
floor пол
fly летать
focus фокус
follow следовать
food еда
foot ступня
for для
force сила
forget забывать
form форма
forward вперед
found нашел
four четыре
free свободный
friend друг
from из
front перед
frown хмуриться
fuck трахать
full полный
fun веселье
funny смешной
further дальше
game игра
gasp вздох
gave дал
gaze пристальный взгляд
gently нежно
get получать
giggle хихикать
girl девочка
girlfriend девушка
give давать
given данный
glad довольный
glance взгляд
glare взгляд
glass стекло
go идти
God Бог
gone ушедший
gonna going to
good хороший
got получил
gotten полученный
grab хватать
great великий
green зеленый
greet приветствовать
grey серый
grin ухмылка
grip хватка
groan стон
ground земля
group группа
grow расти
guard охрана
guess предполагать
gun пистолет
guy парень
had имел
hadn't had not
hair волосы
half половина
hall зал
hallway коридор
hand рука
handle ручка
hang вешать
happen случаться
happy счастливый
hard трудный
has имеет
hate ненавидеть
have иметь
haven't have not
he он
head голова
hear слышать
heard слышал
heart сердце
heavy тяжелый
held держал
hell ад
hello привет
help помогать
her ее
here здесь
herself себя
hey эй
hi привет
hide прятать
high высокий
him его
himself себя
his его
hit ударять
hold держать
home дом
hope надеяться
horse лошадь
hospital больница
hot горячий
hour час
house дом
how как
however однако
hug обнимать
huge огромный
huh а
human человек
hundred сто
hung висел
hurry торопиться
hurt причинять боль
I я
ice лед
idea идея
if если
ignore игнорировать
imagine представлять
immediately немедленно
important важный
in в
inside внутри
instead вместо
interest интерес
interrupt прерывать
into в
is есть
it это
its его
jacket куртка
jeans джинсы
jerk рывок
job работа
join присоединяться
joke шутка
jump прыгать
just просто
keep хранить
kept хранил
key ключ
kick пинать
kid ребенок
kill убивать
kind вид
